tanggal,tahun,bulan,h2_ppb,ch4_ppb,co2_ppm,co_ppb,delta_h2,target_h2_delta,delta_co,delta_ch4,delta_co2,rasio_h2_co,h2_lag1,h2_lag2,sin_bulan,cos_bulan
2009-11-01,2009,11,552.61,1820.69,382.76,140.58,0.2400000000000091,0.2400000000000091,11.440000000000026,22.269999999999982,0.8100000000000023,0.020979020979021726,552.37,548.11,-0.5000000000000004,0.8660254037844384
2009-12-01,2009,12,545.75,1843.53,382.94,137.45,-6.860000000000014,-6.860000000000014,-3.130000000000024,22.839999999999918,0.18000000000000682,2.191693290734812,552.61,552.37,-2.4492935982947064e-16,1.0
2010-01-01,2010,1,543.7,1863.49,384.25,146.32,-2.0499999999999545,-2.0499999999999545,8.870000000000005,19.960000000000036,1.3100000000000023,-0.23111612175873208,545.75,552.61,0.49999999999999994,0.8660254037844387
2010-02-01,2010,2,547.99,1869.29,384.77,154.91,4.289999999999964,4.289999999999964,8.590000000000003,5.7999999999999545,0.5199999999999818,0.4994179278230456,543.7,545.75,0.8660254037844386,0.5000000000000001
2010-03-01,2010,3,551.89,1845.52,384.98,136.29,3.8999999999999773,3.8999999999999773,-18.620000000000005,-23.769999999999982,0.21000000000003638,-0.20945220193340366,547.99,543.7,1.0,6.123233995736766e-17
2010-04-01,2010,4,551.22,1821.56,384.99,118.01,-0.6699999999999591,-0.6699999999999591,-18.279999999999987,-23.960000000000036,0.009999999999990905,0.036652078774614856,551.89,547.99,0.8660254037844387,-0.4999999999999998
2010-05-01,2010,5,546.01,1815.6,381.93,111.32,-5.210000000000036,-5.210000000000036,-6.690000000000012,-5.960000000000036,-3.0600000000000023,0.7787742899850564,551.22,551.89,0.49999999999999994,-0.8660254037844387
2010-06-01,2010,6,540.06,1809.11,380.65,94.64,-5.9500000000000455,-5.9500000000000455,-16.679999999999993,-6.490000000000009,-1.2800000000000296,0.356714628297365,546.01,551.22,1.2246467991473532e-16,-1.0
2010-07-01,2010,7,538.95,1806.61,384.15,92.71,-1.1099999999999,-1.1099999999999,-1.9300000000000068,-2.5,3.5,0.5751295336787026,540.06,546.01,-0.4999999999999997,-0.8660254037844388
2010-08-01,2010,8,540.14,1811.49,384.81,108.93,1.1899999999999409,1.1899999999999409,16.220000000000013,4.880000000000109,0.660000000000025,0.07336621454993464,538.95,540.06,-0.8660254037844385,-0.5000000000000004
2010-09-01,2010,9,543.7,1809.68,382.67,110.94,3.560000000000059,3.560000000000059,2.009999999999991,-1.8099999999999454,-2.1399999999999864,1.7711442786070026,540.14,538.95,-1.0,-1.8369701987210297e-16
2010-10-01,2010,10,548.73,1797.92,382.3,102.78,5.029999999999973,5.029999999999973,-8.159999999999997,-11.759999999999991,-0.37000000000000455,-0.6164215686274479,543.7,540.14,-0.8660254037844386,0.5000000000000001
